"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C2","0603C","-5.9284mm","5.08mm","-5.969mm","5.8528mm","-5.9284mm","5.842mm","T","270.00","0.1uF"
"C5","0603C","6.096mm","18.669mm","6.1366mm","17.8962mm","6.096mm","17.907mm","T","90.00","0.1uF"
"R2","0603R","13.4328mm","39.4716mm","12.66mm","39.431mm","12.6708mm","39.4716mm","T","0.00","470R"
"R3","0603R","-3.3884mm","8.4982mm","-3.429mm","9.271mm","-3.3884mm","9.2602mm","T","270.00","330R"
"R4","0603R","-5.9284mm","8.4982mm","-5.969mm","9.271mm","-5.9284mm","9.2602mm","T","270.00","330R"
"C1","0603C","-8.128mm","5.08mm","-8.1686mm","5.8528mm","-8.128mm","5.842mm","T","270.00","1uF"
"R1","0603R","13.4328mm","37.2008mm","12.66mm","37.1602mm","12.6708mm","37.2008mm","T","360.00","10k"
"C4","0603C","-7.1892mm","19.05mm","-7.2298mm","19.8228mm","-7.1892mm","19.812mm","T","270.00","0.1uF"
"D1","LTST-C171","-3.429mm","12.192mm","-3.429mm","12.192mm","-3.429mm","11.142mm","T","90.00","LED Red"
"D2","LTST-C171","-5.9284mm","12.192mm","-5.9284mm","12.192mm","-5.9284mm","11.142mm","T","90.00","LED Green"
"J1","HDR1X6","17.384mm","33.401mm","17.384mm","39.751mm","17.384mm","39.751mm","T","270.00","ICSP"
"C3","0603C","-7.2406mm","22.3126mm","-7.2mm","21.5398mm","-7.2406mm","21.5506mm","T","90.00","0.1uF"
"U1","SSOP-28","-0.0172mm","19.904mm","-0.0172mm","19.904mm","-3.5172mm","24.129mm","T","270.00","dsPIC33CK256MC502"
"FB1","0603FB","6.797mm","42.5044mm","7.5698mm","42.545mm","7.559mm","42.5044mm","T","180.00","FB"
"U3","SOIC-8","8.89mm","54.356mm","6.19mm","56.261mm","6.19mm","56.261mm","T","360.00","MCP6487"
"U4","TSOP-5","-6.9944mm","32.2052mm","-6.9944mm","32.2052mm","-8.3944mm","33.1552mm","T","270.00","MCP6001"

